Unnamed: 0,Book Title,Book Author,Summary,Genres,String Counts
11029,Two Old Women,Velma Wallis," Long before the Europeans came, nomads roamed the polar region of Alaska in constant search for game. The people of the Gwich'in, who belong to the Athabaska tribes, wander the areas around the Yukon River, the Porcupine River, the Tanana River and their tributaries. Because of a lack of food and an upcoming strict winter, one of these Gwich'in nomad groups decides to leave behind two old women in the snow-covered wilderness. Left back and dumbfounded in fright, 75-year-old Sa' and 80-year-old Ch'idzigyaak remain seated in the snow after the leader announced the decision to the tribe. Before moving on, Ch'idzigyaak's daughter gives them an untanned moose's skin, or babiche. As another familial gesture, Ch'idzigyaak's grandson hides his osseous hatchet, which is the symbol of his manhood, for the two women. The tribe leaves. Left back to themselves, the two women at first sit silently. In their desperation, however, they decide it's better to die trying to survive. Sa' succeeds in killing a squirrel using the hatchet as a weapon. The two women boil the meat and drink the broth. They then go on to set rabbit traps and in the middle of the night wake to animal noises: they find two rabbits in their traps. The women now decide to move on to hunt better game. In order to cross the snow, they make themselves snowshoes. Eventually, they reach a river where their tribe had fished successfully in the warmer season. On each night of their journey of several days, the women dig a snow shelter protected by animal hides. They save the embers of their campfires to start a new fire the next evening. In this way, the fire never goes out. In the mornings, the two old women complain about their pains in the joints. Finally they reach their familiar river and set up a winter camp there. However, they hide inland from The People, another tribe, for fear of cannibalism. Fortunately, the two old women succeed in building up a generous supply of food made up of smoked musquashes and beavers. In the summer, they catch large amounts of fish and manage to dry and store them away. In the next winter, the tribe returns to the area. The leader concludes that the two women must have survived because there are no remains of them. He believes that if they can find the women, the tribe might be able to muster a new sense of survival, for his people are starving after having had little hunting luck all through winter. The leader sends off Daagoo, a tracker, and a few young warriors to locate the women. The weak group staggers away. But Daagoo picks up the scent of smoke, and before long they track down the women's camp. The two women at first do not trust the small group but Daagoo gives both of them his word: the men want peace with the two women. Sa' and Ch'idzigyaak hesitate for a long time. In the end they sense that Daagoo is honest. They submit to his request for they had been in fact very lonely, missing their home tribe a lot. However, they do not admit this right away. In spite of their deep mistrust (from having been left alone to die before) their hearts grow soft again. So in the end the two old women deliver rations of food to their own people. Ch'idzigyaak's grandson makes an effort and visits them in the camp, but the daughter is still ashamed and does not visit for a while. In the end, however, the daughter finally visits the mother. From then on the Gwich'in never ever leave their elderly behind. They will never think of doing that again.",Children's literature,21
2310,Sacred Clowns,Tony Hillerman,during a kachina ceremony at the tano pueblo the antics of a dancing koshare fill the air with tension moments later the clown is found bludgeoned to death in the same manner a reservation schoolteacher was killed only days beforeofficer jim chee and lieutenant joe leaphorn believe that answers lie in the sacred clowns final cryptic message to the tano people but to decipher it the two navajo policemen may have to delve into closely guarded tribal secretson a sinister trail of blood that links a runaway a holy artifact corrupt indian traders and a pair of dead bodies,Crime Fiction,13
5985,Dark Rivers of the Heart,Dean Koontz," Spencer Grant is a man with a tainted past and a lovable dog, Rocky, who together embark on a quest to find a life in a woman named Valerie Keene, whom he meets in a nightclub. Grant and his dog come back to the club later to find out that the woman is late for work. When Grant attempts to find her at her home, a SWAT-like team bombards the place, sending Grant into confusion. Grant is now determined to find Valerie. He searches for her in Las Vegas and is pursued by a secret government agency who are also looking for Valerie. He gets caught in a storm in the Nevada desert and is injured. He is rescued by Valerie and she helps Spencer's injuries. Meanwhile Roy Miro, a high ranking official in the agency, is the main antagonist who has been looking for Valerie for months. He and the agency use a satellite to find Spencer and Valerie's location in the desert. Roy and some agents get into a helicopter and corner them into a shopping center. Spencer and Valerie take hostage a helicopter and fly out of Nevada to Colorado to visit the house Spencer had his childhood in. When Spencer was 14 years old he heard a noise in the night and went out to the barn in the backyard to investigate. Inside the barn he found his father torturing a woman and Spencer found a gun and non-fatally shot his father. His father was later sent to a mental hospital. Roy takes Spencer's father out of the hospital and flies to the Colorado house to confront Spencer and Valerie. Spencer's father shoots Roy in the barn, which only paralyzes Roy. Spencer then fatally shoots his father while he and Valerie leave the barn. They use a satellite heat beam to disable the other agents while leaving the house and starting a new life together helping a resistance group against the government agency. it:Il fiume nero dell'anima",Suspense,8
14678,The Dark Tower: The Wind Through the Keyhole,Stephen King," The novel begins with Roland and his ka-tet arriving at a river on their journey to the Dark Tower. An elderly man who operates a ferry gets them across the river, and warns them that a severe storm (Starkblast) is coming, and that they can find shelter in a building a few miles ahead. They reach the shelter just in time, and while they wait out the storm, Roland spins a story to keep them occupied. The story he tells, called the ""Skin-Man"", depicts Roland as a young gunslinger. His father sends Roland and his ka mate Jamie De Curry west to the town of Debaria on a mission to capture the Skin-Man, an apparent shape shifter who terrorizes the town and surrounding areas by transforming into various animals at night and embarking on murderous rampages. Roland and Jamie take a train to Debaria, but it derails before arriving and they must finish their journey on horse. On their way, they pass through a town known as Serenity, a community of women where Roland's mother lived after suffering a mental breakdown following her affair with Marten. It is here that they learn of a woman attacked by the Skin-Man and hear her tale. Roland and Jamie arrive in Debaria, and with the help of the local Sheriff, Hugh Peavy, they determine that the Skin-Man is most likely a salt miner from a nearby village. The next morning, they discover that another brutal attack has occurred overnight on a local farm. They investigate the scene, and discover a single survivor, a small boy named Bill, who has lost his father in the attack. Roland and Jamie determine that the murderer left the scene on horseback, and Roland sends Jamie to the salt mines to round up every miner who has a horse or is able to ride one. While returning to Debaria with Bill, Roland performs his hypnotism trick (which Roland first used in his chronological life in Wizard and Glass) with one of his shells (a fifty-seven - the caliber of an apprentice's gun). While hypnotized, Bill relates what he saw of the Skin-man; Bill tells Roland that he saw the Skin-Man in his human form after the attack, but only glimpsed his feet. He stated that on one ankle the Skin-Man had a tattoo of a blue ring around his ankle. The tattoo indicates that the man spent time in the prison at a (now abandoned) military barracks further west of Debaria. That area had fallen to the chaos of John Farson, the Good Man, within the last generation. Back in town, Roland brings Bill to a cell in Sheriff's station. He plans to walk each suspect past Bill in the hopes the young boy can identify the Skin-Man, or that the Skin-Man will reveal himself by fleeing due to fear of being identified. While Roland and Bill wait for Jamie to round up the suspects, Roland tells Bill the story of The Wind Through the Keyhole. In this story (within a story), we meet Tim Ross, a young boy who lives in a forgotten village that fears the annual collection of property taxes by a man named The Covenant Man. Tim recently lost his father, who was killed by a dragon while in the woods chopping trees. After the death of his father, Tim's mother, no longer able to pay the taxes to keep their home, marries his fathers best friend and business partner Bern Kells, who moves in with them. Kells is a mean man prone to heavy drinking who does not treat Tim or his mother well. One day The Covenant Man comes to collect the taxes, and he secretly tells Tim to meet him later in the woods. During this meeting, The Covenant Man reveals to Tim that it was actually Bern Kells who killed his father, not a dragon and with help of a scrying bowl shows Tim, Kells beating his mother, causing her to go blind. Later, The Covenant Man sends Tim a vision telling him that if Tim again visits The Covenant Man in the woods, he will give Tim magic that will allow his mother to see again. Tim, armed with a gun given to him by his school teacher, journeys into the dangerous woods, and is led into a swamp by the evil fairy, Armaneeta. Here, Tim almost becomes victim to a dragon and other mysterious swamp creatures, but he is saved by his gun as well as a group of friendly swamp people, who mistake him for a gunslinger. The swamp people guide him to the far side of the swamp, and equip him with a small mechanical talking device from the 'Old People' that helps guide him on his journey. Eventually, Tim arrives at a Dogan where he finds a caged 'tyger', which wears the key to the Dogan around its neck. A Starkblast approaches, and Tim, realizing this is likely a trap set for him by The Covenant Man, befriends the tyger. Tim and the tyger ride out the storm under a magical protective blanket. The next morning, Tim discovers that the tyger is actually Maerlyn, a white magician, who had been trapped in the cage for years due to black magic. Mearlyn gives Tim a potion to cure his mother's blindness and sends him back to his mother on the flying magic blanket. Tim then cures his mother's blindness. Tim's mother then kills Bern Kells with an ax after Kells enters their home with the intention of killing them. This concludes the Wind Through The Keyhole story, and Jamie arrives back in Debaria with the salt mine suspects. Young Bill is able to identify the Skin-Man due to his ankle tattoo and an associated scar, at which time the Skin-Man transforms into a snake, and kills two people. Roland shoots the snake with a specially-crafted silver bullet (which he had made upon their arrival in town), killing it. Roland and Jamie travel back to Serenity, where the women agree to adopt young Bill, who is now an orphan. Roland is also given a note written long ago by his mother. In this note, his mother claims she forgives Roland for his act of accidentally killing her. This concludes the Skin-Man story and an adult Roland and his ka-tet have now successfully ridden out the Starkblast. They pack up, and continue on their journey to the Dark Tower.",Fantasy,7
1730,Scoop,Evelyn Waugh," William Boot, a young man who lives in genteel poverty far from the iniquities of London, is contributor of nature notes to Lord Copper's Daily Beast, a national newspaper. He is dragooned into becoming a foreign correspondent when the editors mistake him for a novelist who shares his surname, John Courtney Boot. He is sent to the fictional African state of Ishmaelia where a civil war threatens to break out. There, despite his total ineptitude, he accidentally manages to get the ""scoop"" of the title. When he returns, however, credit is diverted to the other Boot, and he is left to return to his bucolic pursuits, much to his relief.",Children's literature,21
5948,The Chasm of Doom,Joe Dever," In this book, Lone Wolf is charged by the King of Sommerlund to investigate the disappearance of a troop of cavalry. The cavalry, led by a man named Captain D'Val, themselves disappeared under mysterious circumstances while investigating a disruption in the flow of mined resources from the province of Ruanon. Lone Wolf, along with the fifty Sommlending soldiers who accompany him, must uncover the truth surrounding the missing men and stop the resurrection of an ancient and terrible evil.",Children's literature,21
4255,The Brightonomicon,Robert Rankin," The novel is set in Brighton, and concerns the grand high magus Hugo Rune (AKA The Reinventor of the Ocarina, the Mumbo Gumshoe, the Hokus Bloke, the Cosmic Dick, the Guru's Guru, the Perfect Master, the Lad Himself) and his quest to solve the mystery of the Brighton zodiac, with the aid of his amnesia struck assistant, Rizla (revealed at the conclusion of the novel to be Jim Pooley of The Brentford Trilogy). The are opposed in the novel by Rune's arch foe, the evil Count Otto Black. The following cases are featured:- {| border=""2"" cellpadding=""6"" cellspacing=""0"" style=""margin: 1em 1em 1em 0; background: #f9f9f9; border: 1px #aaa solid; border-collapse: collapse; font-size: 95%;"" |- bgcolor=""#CCCCCC"" align=""center"" !Case !! Description !! Connection |---- | The Hound of the Hangletons |Hugo Rune and the amnesiac Rizla are hired to investigate a strange lost dog, and Rune reveals to Rizla the secret of the Chronovision, a television that allows the user to witness any event in history |The lost dog of the original case |---- | The Curious Case of the Centenary Centaur |While attending a lecture on the size of the universe with Hugo Rune, Rizla is captured by a group of demented doctors seeking to dissect him for organ transplants, and a centaur is unleashed |A centaur appears from a fairy mound |---- | The Monstrous Mystery of the Moulescomb Crab |A conversation with a bog troll about his dead brother leads to Rizla and Rune learning of a terrible plot by the Secret Government to bring down the Royal Family with the aid of a group of space crabs |The crabs originate from a distant nebula |---- | The Lark of the Lansdowne Lioness |When a statue of Queen Victoria begins to cry tears of real Earl Grey Tea, Rune alone knows that a nightmare from the past is about to be unleashed |The 'Lioness' is Queen Victoria, who according to Rune was the reincarnation of King Richard the Lionheart |---- | The Curious Case of the Woodingdean Chameleon |With Rune away on business, it is up to Rizla to avert an assassination attempt at a game of croquet while posing as fictional private detective Lazlo Woodbine |Rizla initially believes that the case refers to Count Otto Black in disguise at the Withdean Stadium- identified as 'Woodingdean' by a barman by accident-, but Rune later claims that it referred to him (Continuing the running gag of Lazlo Woodbine's name being mispronounced) |---- | The Scintillating Story of the Sackville Scavenger |Attending the opening of a nudist theme restaurant with Rune (All other Brighton restaurants no longer accepting Rune's presence), Rizla is shocked to witness a group of dead rock stars dining with them |The scavenger is Robert Johnson, who aided the world around him with his music |---- | The Fantastic Adventure of the Foredown Man |While attending a garden party, Rizla witnesses the apparent murder of Lord Jeffrey - despite the fact that the man in question vanished over a hundred years earlier - and his various relatives subsequently begin to die in various horrible manners |Lord Jeffrey was the forefather of the others |---- | The Baffling Business of the Bevendean Bat |Reports of lost cats in the Bevendean area, coupled with radioactive doves, multiple roaring animals at regular intervals, and an encounter with an exploding uniped in the bar The Really Small Atlantean, lead to a confrontation between Rune and the evil Count Otto Black about a modern-day version of Noah's Ark |The bar's true name is the Bevendean Bathyscaphe |---- | The Sensational Sage of the Saltdean Stallion |While at a party in Lewes, Rune is apparently killed as a sacrifice to reveal the location of the Chronovision, leaving Rizla to escape Count Otto Black’s followers with the aid of an urban legend |The 'Stallion' is Norris Styver, who became trapped in Lewes's complicated street system and could not escape |---- | The Birdman of Whitehawk |The Chronovision now recovered after a trip into the Forbidden Zones, Rune and Rizla must tackle the mysterious apparitions that plague their current host |The Birdman is an native-american/Indian chief, Chief Whitehawk, who provides Rune and Rizla with accommodation |---- | The Wiseman of Withdean |Rizla is forced to disguise himself as a woman as he and Rune search for the last descendant of Jesus Christ at a Heavy Metal concert |The Wiseman is Lord Tobes, the last descendant of Jesus |---- | The Concluding Chaotic Conundrum of the Coldean Cat |Their forces gathered, Rune and Rizla prepare for the final confrontation with Count Otto Black and for their final parting after a long year of adventures |Coldean is Tobes' recently-lost cat |---- |}",Fantasy,7
5655,Executive,Leslie Wolfe,"alternative cover edition httpswwwgoodreadscombookshow3a friendly fire incident in afghanistan takes a serious tolla drone out of control brings death and wreaks havoc on a florida highwayan apparently successful corporation comes under scrutinya memorable incursion behind corporate closed doors led by an upandcoming executive on a mission to find the truth about the lives lost to the very technology that was mandated to protect themour skies arent safe anymorea thoughtprovoking page turner 
executive
 sizzles with plausible scenarios conveyed in technical and business terminology at an unrelenting paceexploring the controversial territory of toxic leadership and its long term consequences 
executive 
delivers an insightful analysis spiced with cuttingedge technology and science in an exciting masterful political technothrillerfans of jack ryan jason bourne james bond and jack reacher will be intrigued by alex hoffmann",Suspense,8
5928,Angelina Ballerina,Katharine Holabird|Helen Craig,angelina is so busy dancing that she does nothing else her parents are in despair until they send her to ballet school,Children's literature,21
7125,ATLA - A Story of the Lost Island,Anne Eliza Smith," The people of Atlantis are accidentally discovered by the Phoenicians by a chance shipwreck somewhere in Atlantic Ocean. One Tyrian survivor is found and rescued by a people known as the Tsinim who come from the West. The Phoenicians become interested in this new civilization because they possess a secret of sailing without using the heavenly bodies as guides. A foreign infant is found upon a shipwreck near the shores of the Atlantean empire. The baby girl is adopted by the King and he names her Atla. The child's complexion is fair and white which is uncommon among the populace of dark colored inhabitants. Atla is raised alongside the King's real daughter who is called Astera. As the girls grow up to maturity, the inhabitants of Atlan are visited by foreigners from the East. The fleet of Phoenician ships comes to the shores of Atlantis only after mastering the new art of sailing without guiding stars. The leader of the fleet is Herekla, son of King Melek of the Phoenician empire. Herekla was the inventor of the compass which enabled them to reach the island in the west. The Phoenicians were not the first to discover the secret of the compass. The people of the Tsinim learned the secret first and they were in fact the Atlanteans of the west. es:Atla",Fantasy,7
